source,date,compound_score,positive_score,neutral_score,negative_score,tweet
@BBCNews,2018-06-23 01:04:54+00:00,0.0,0.0,1.0,0.0,Turkey's elections explained in 100 and 500 words https://t.co/xngDGkJy1o
@BBCNews,2018-06-23 01:02:26+00:00,0.0,0.0,1.0,0.0,Eastbourne: Andy Murray takes wildcard at Nature Valley International https://t.co/38diPHuzvO
@BBCNews,2018-06-23 00:22:17+00:00,0.0,0.0,1.0,0.0,House prices tumble in seaside hot spots https://t.co/ITlkNPHUN1
@BBCNews,2018-06-23 00:15:30+00:00,0.0,0.0,1.0,0.0,Netflix comms boss Jonathan Friedland sacked over ’N-word’ https://t.co/P5jXd6KR5q
@BBCNews,2018-06-22 23:49:52+00:00,-0.128,0.0,0.857,0.143,Brexit: Campaigners to demand new vote in London march https://t.co/48AOuVElBX
@BBCNews,2018-06-22 23:40:19+00:00,0.0,0.0,1.0,0.0,Game of Thrones: Kit Harington and Rose Leslie's wedding is coming https://t.co/GhfunqqF75
@BBCNews,2018-06-22 23:10:22+00:00,-0.2023,0.0,0.795,0.205,Two-thirds of drivers 'unaware of mobile penalties' https://t.co/pD2sE2nxNb
@BBCNews,2018-06-22 23:00:19+00:00,0.5574,0.31,0.69,0.0,Newspaper headlines: 'Fantastic Brexit' and 'bog roll Brexit' https://t.co/X3EjdnOaaT
@BBCNews,2018-06-22 21:42:53+00:00,-0.3182,0.0,0.796,0.204,Baron Edouard-Jean Empain who lost finger to kidnappers dies https://t.co/GnTVtrStLv
@BBCNews,2018-06-22 20:05:51+00:00,0.5859,0.241,0.759,0.0,World Cup 2018: Switzerland's Zherdan Shaqiri scores 90th minute winner against Serbia https://t.co/9jveijiZrR
@BBCNews,2018-06-22 19:40:37+00:00,-0.34,0.0,0.769,0.231,London Euston fire: Crews tackle blaze near station https://t.co/3v0yqCXAFw
@BBCNews,2018-06-22 19:20:16+00:00,0.0,0.0,1.0,0.0,World Cup 2018: Nigeria 2-0 Iceland https://t.co/TeCzJC8enz
@BBCNews,2018-06-22 19:15:32+00:00,-0.25,0.181,0.532,0.287,Van crash puppy has 'miraculous escape' https://t.co/59CZUeeF4v
@BBCNews,2018-06-22 18:14:01+00:00,-0.836,0.0,0.44,0.56,Elif Kaya death: Sister Meliha sentenced for causing death https://t.co/2AxBTD4HJW
@BBCNews,2018-06-22 17:46:44+00:00,0.296,0.216,0.784,0.0,German car shares dip on Trump tariff tweet https://t.co/czW2txEGos
@BBCNews,2018-06-22 16:53:47+00:00,0.0,0.0,1.0,0.0,Boris Becker insists CAR diplomatic passport is genuine https://t.co/NTgK4jR1rE
@BBCNews,2018-06-22 16:52:15+00:00,0.0,0.0,1.0,0.0,"Boom boom! 

When @realbasilbrush met @BBCSimonMcCoy https://t.co/OzguQVgCqH"
@BBCNews,2018-06-22 16:45:25+00:00,-0.5994,0.0,0.813,0.187,RT @BBC_HaveYourSay: The death of Koko the gorilla has linguists talking about the portrayal of sign languages https://t.co/mPazR3peFy
@BBCNews,2018-06-22 16:33:33+00:00,0.0,0.0,1.0,0.0,West End theatre renamed after Cats choreographer Gillian Lynne https://t.co/XHjsQayVVP
@BBCNews,2018-06-22 16:23:58+00:00,0.25,0.212,0.641,0.147,Lewis Hamilton tops French GP practice as Sergio Perez loses wheel https://t.co/eRCmQfTt02
@BBCNews,2018-06-22 16:23:07+00:00,-0.5267,0.106,0.606,0.288,John Leslie cleared of sexual assault in Edinburgh nightclub https://t.co/oUaSMDfNjB
@BBCNews,2018-06-22 16:13:30+00:00,0.7163,0.184,0.816,0.0,"RT @BBCSport: GOAL! #NGA 1-0 #ISL 

Ahmed Musa! He collects a cross mid-air and hammers into the back of the net - great goal!

📺 @BBCOne…"
@BBCNews,2018-06-22 16:11:14+00:00,-0.5994,0.0,0.642,0.358,Koko: Gorilla death coverage rekindles language debate https://t.co/pFmNgOEzvS
@BBCNews,2018-06-22 15:49:39+00:00,-0.4215,0.0,0.714,0.286,St Paul's Girls' School 'Austerity Day' criticised https://t.co/Zylo3jdyvv
@BBCNews,2018-06-22 14:22:16+00:00,-0.1645,0.2,0.549,0.251,Khawla Barghouthi jailed for not revealing attack plan https://t.co/Rb1vulYlHa
@BBCNews,2018-06-22 14:15:02+00:00,0.7906,0.389,0.611,0.0,World Cup 2018: Philippe Coutinho &amp; Neymar late goals hand Brazil win https://t.co/O6IfMcSRoS
@BBCNews,2018-06-22 14:05:22+00:00,0.0,0.0,1.0,0.0,Migrant families separation poster girl 'not taken from mum' https://t.co/AxGebXSwr0
@BBCNews,2018-06-22 14:04:15+00:00,0.4404,0.207,0.705,0.087,"Puppy has ""miraculous"" escape after being cut free from the wreckage of crashed van - the owners also weren't hurt… https://t.co/iBtGTK8J4t"
@BBCNews,2018-06-22 13:55:56+00:00,0.0,0.0,1.0,0.0,Dorothea Lange: Piercing portraits from US history https://t.co/V8NyuuZTCy
@BBCNews,2018-06-22 13:54:37+00:00,0.0,0.0,1.0,0.0,"RT @BBCSport: GOAL! #BRA 2-0 #CRC 

Game over - Neymar adds a second deep into added time.

📻 @5liveSport 
📱 https://t.co/AnVTt3eeHi

#bbcw…"
@BBCNews,2018-06-22 13:53:48+00:00,-0.2263,0.0,0.826,0.174,James Corden tears up at Paul McCartney's carpool karaoke https://t.co/qr4M6VpQgX
@BBCNews,2018-06-22 13:50:45+00:00,0.5972,0.156,0.844,0.0,"RT @BBCSport: GOAL! #BRA 1-0 #CRC 

Coutinho to the rescue! He arrives late in the box to poke past Navas.

📻 @5liveSport 
📱 https://t.co/A…"
@BBCNews,2018-06-22 13:39:00+00:00,0.0,0.0,1.0,0.0,Kim Kardashian defends wearing hair in braids: 'I'm not tone deaf' https://t.co/jiqLA8pMkg
@BBCNews,2018-06-22 13:38:15+00:00,0.0,0.0,1.0,0.0,"RT @BBCMOTD: Drama!

After a consultation with VAR, the decision is overturned.

Neymar isn't booked...

#BRA 0-0 #CRC as you were! https:/…"
@BBCNews,2018-06-22 13:16:26+00:00,0.5574,0.286,0.714,0.0,"#Windrush70: Just one of the remarkable stories ❤️

Thread 👇 https://t.co/Gelq3tUfCc"
@BBCNews,2018-06-22 13:09:41+00:00,0.7269,0.55,0.45,0.0,House of Fraser rescue plan approved https://t.co/POKYerDEWp
@BBCNews,2018-06-22 12:53:00+00:00,-0.1531,0.0,0.873,0.127,World Cup 2018: England's Dele Alli likely to miss Panama match https://t.co/go5gFzdCLm
@BBCNews,2018-06-22 12:39:31+00:00,-0.34,0.0,0.906,0.094,"RT @danroan: Southgate rebuke to media today when asked about Steve Holland team sheet leak gaffe: “Obviously any time, if we were to give…"
@BBCNews,2018-06-22 12:38:37+00:00,0.0,0.0,1.0,0.0,'Drink-driver' clocked at 132mph near Bedford https://t.co/ABGkaPJ8I7
@BBCNews,2018-06-22 12:34:01+00:00,0.0,0.0,1.0,0.0,World Cup 2018: Brazil v Costa Rica - rate the players https://t.co/9eG76VRqvO
@BBCNews,2018-06-22 12:17:11+00:00,-0.5994,0.0,0.719,0.281,Brooklyn Nine-Nine's Stephanie Beatriz: 'I'm bi till the day I die' https://t.co/saWbKEZpWM
@BBCNews,2018-06-22 12:01:01+00:00,0.0,0.0,1.0,0.0,People mark 'Take Your Dog To Work Day' with pictures of busy pups https://t.co/OB4pKgOzm0
@BBCNews,2018-06-22 11:59:45+00:00,0.0,0.0,1.0,0.0,"RT @daily_politics: “In a nutshell, what is Brexit?” @HayleyHughes_xx asks @adamfleming #bbcdp https://t.co/3x0qaVsgCl"
@BBCNews,2018-06-22 11:55:31+00:00,0.3612,0.333,0.667,0.0,Ready for more footy? #BRACRC https://t.co/8pypCKMZpZ
@BBCNews,2018-06-22 11:40:04+00:00,0.0,0.0,1.0,0.0,Lewis Hamilton fastest in French GP practice as Marcus Ericsson crashes https://t.co/dBUbpUbsb7
@BBCNews,2018-06-22 11:23:13+00:00,0.4019,0.162,0.838,0.0,"Nature Valley International: Britons Heather Watson, Harriet Dart and Katie Swan awarded Eastbourne wildcards https://t.co/QD4AHXS9sa"
@BBCNews,2018-06-22 11:18:42+00:00,0.2263,0.165,0.745,0.09,RT @BBCNewsround: 'I fought every day...' @FloellaBenjamin tells us what it was like growing up as a black child in the UK #WindrushGenerat…
@BBCNews,2018-06-22 11:16:25+00:00,-0.3875,0.0,0.774,0.226,Melania jacket: Five things 'I don't care' could mean https://t.co/RivnaWuGtZ
@BBCNews,2018-06-22 11:13:48+00:00,0.0,0.0,1.0,0.0,Adolf Hitler cutlery to be sold in Dorset https://t.co/EK1l4pnJba
@BBCNews,2018-06-22 10:50:05+00:00,-0.6249,0.0,0.76,0.24,Argentina: Word Cup squad is the 'worst in their history' says Ossie Ardiles https://t.co/6l0uk7WjQn
@BBCNews,2018-06-22 10:48:54+00:00,0.5994,0.231,0.769,0.0,"""Personally, I have had a beautiful life"" - the stories of three different Windrush passengers 

#Windrush70 

https://t.co/8WxoxquVTJ"
@BBCNews,2018-06-22 10:03:21+00:00,0.0772,0.149,0.712,0.139,How a World War Two soldier returned to England on the Windrush and was reunited with the love of his life ❤️… https://t.co/ER6vMnKdSE
@BBCNews,2018-06-22 10:01:35+00:00,-0.4576,0.0,0.7,0.3,Arizona Uber crash driver was 'watching TV' https://t.co/w93bccfHzJ
@BBCNews,2018-06-22 09:52:07+00:00,0.0,0.0,1.0,0.0,High Court refuses bid for gender-neutral passports https://t.co/2njLv1JXdh
@BBCNews,2018-06-22 09:52:02+00:00,0.0,0.0,1.0,0.0,"RT @VictoriaLIVE: ‘The day I found it had gone was very difficult.’ 

Azra Sabados looked through her partner’s Facebook profile to seek co…"
@BBCNews,2018-06-22 09:50:05+00:00,0.3182,0.099,0.901,0.0,"RT @5liveSport: Who has that #FridayFeeling? 🙌

We have three huge #WorldCup games to take you into the weekend...

#BRA v #CRC 
#NGA v #IS…"
@BBCNews,2018-06-22 09:40:35+00:00,-0.3612,0.0,0.762,0.238,Kate Spade's father dies night before designer's funeral https://t.co/ele3CqNC3J
@BBCNews,2018-06-22 09:40:01+00:00,0.4767,0.186,0.814,0.0,RT @BBCPolitics: Tourists hoping for a selfie in front of #BigBen might want to come back in a couple of years... https://t.co/IAdrI4IlGj
@BBCNews,2018-06-22 09:32:03+00:00,0.0,0.0,1.0,0.0,"We have! 😉

Head to our Instagram profile to see: bbcnews https://t.co/PHUz1gCuQD"
@BBCNews,2018-06-22 09:00:37+00:00,0.0,0.0,1.0,0.0,XXXTentacion's girlfriend is pregnant https://t.co/YbvquxHSgu
@BBCNews,2018-06-22 08:40:36+00:00,-0.7096,0.0,0.731,0.269,"A generation ago many UK city centres were dreary and dilapidated places, with a reputation for crime. 

Now, they… https://t.co/aMIwzCpBG4"
@BBCNews,2018-06-22 08:04:03+00:00,0.0,0.0,1.0,0.0,Windrush 70: The serviceman reunited with his future bride https://t.co/6gFCkk88y8
@BBCNews,2018-06-22 07:15:42+00:00,-0.3346,0.0,0.903,0.097,"RT @BBCSport: When have we ever seen Lionel Messi get a rating this low?

Here’s how you rated the players in Argentina v Croatia 👉
https:/…"
@BBCNews,2018-06-22 07:09:53+00:00,0.8126,0.425,0.575,0.0,Sophie Gradon: Friend says 'Love Island needs to offer more aftercare' https://t.co/drSgoLxJn4
@BBCNews,2018-06-22 07:03:35+00:00,-0.6597,0.0,0.816,0.184,"RT @BBCMaryam: As the boss of #Intel is forced to resign after non disclosure of an affair with an employee, do you know what your company…"
@BBCNews,2018-06-22 06:58:05+00:00,-0.765,0.0,0.476,0.524,Bomb threat closes London's Charing Cross station https://t.co/hV6kwhx5B5
@BBCNews,2018-06-22 06:27:05+00:00,-0.6486,0.0,0.602,0.398,Home and Away's Orpheus Pledger helped stop street attack https://t.co/WuefcQsm1Z
@BBCNews,2018-06-22 06:10:51+00:00,0.0,0.0,1.0,0.0,Windrush: Coronation Street's Rhea Bailey explores family history https://t.co/XXB5GS8cJH
@BBCNews,2018-06-22 06:08:31+00:00,0.0,0.0,1.0,0.0,Sophie Gradon: ITV2 leads tributes to ex-Love Island star https://t.co/hqDKlk86yr
@BBCNews,2018-06-22 06:06:20+00:00,0.2023,0.114,0.886,0.0,"Danny Cipriani: 'For me it's always been about playing for England,' says returning fly-half https://t.co/l1dAo9X4OO"
@BBCNews,2018-06-22 06:01:37+00:00,0.0,0.0,1.0,0.0,World Cup: Lionel Messi carrying Argentina's weight of expectation https://t.co/V43IxAiybE
@BBCNews,2018-06-22 05:59:17+00:00,0.0,0.0,1.0,0.0,World Cup 2018: England v Panama - select your England team https://t.co/wyGdyIOeDD
@BBCNews,2018-06-22 05:21:48+00:00,-0.4215,0.0,0.763,0.237,"News Daily: Airbus fears, Commons gagging and Melania's jacket https://t.co/OPNGpnnYYX"
@BBCNews,2018-06-22 04:17:30+00:00,-0.128,0.0,0.857,0.143,World Cup 2018: Kylian Mbappe strike sends France through https://t.co/3BmukutrlW
@BBCNews,2018-06-22 04:15:00+00:00,0.0,0.0,1.0,0.0,World Cup 2018: Argentina 0-3 Croatia https://t.co/gPuSL1XoEH
@BBCNews,2018-06-22 01:54:48+00:00,0.0,0.0,1.0,0.0,World Cup 2018: Denmark 1-1 Australia https://t.co/uqI8VrWQd4
@BBCNews,2018-06-22 01:50:03+00:00,0.0,0.0,1.0,0.0,World Cup 2018: England starting XI for Panama game 'revealed' by assistant https://t.co/rlnLYAhkWD
@BBCNews,2018-06-22 01:45:07+00:00,0.0,0.0,1.0,0.0,Roseanne spinoff The Conners ordered - without Roseanne https://t.co/gae2h3yNen
@BBCNews,2018-06-22 01:38:12+00:00,0.0,0.0,1.0,0.0,Quiz: What causes a third of Europe's flight delays? https://t.co/0XrmtQoCR1
@BBCNews,2018-06-22 01:35:50+00:00,0.5719,0.381,0.619,0.0,Windrush anniversary celebrated at Westminster Abbey https://t.co/xftQfu1Jvz
@BBCNews,2018-06-22 01:07:49+00:00,-0.1531,0.0,0.755,0.245,Airbus warns no-deal Brexit could see it leave UK https://t.co/QwELsr5FsW
@BBCNews,2018-06-22 00:00:18+00:00,0.5106,0.248,0.752,0.0,Italy to seize NGO rescue ships as migrant row deepens https://t.co/iqIPhOIllN
@BBCNews,2018-06-21 23:53:00+00:00,0.0,0.0,1.0,0.0,Migrant children: Pentagon asked to house migrant minors https://t.co/D8Z7i2Pj0E
@BBCNews,2018-06-21 23:43:20+00:00,0.0,0.0,1.0,0.0,MPs to investigate 'fast fashion' impact https://t.co/6mujVckhjx
@BBCNews,2018-06-21 23:11:53+00:00,-0.6369,0.0,0.682,0.318,Church of England makes last-minute approach to abuse survivors https://t.co/UvhsOHMzte
@BBCNews,2018-06-21 23:06:54+00:00,0.128,0.273,0.496,0.231,Newspaper headlines: Fears and confidence over Brexit https://t.co/PReYsxtYtj
@BBCNews,2018-06-21 23:04:18+00:00,0.0,0.0,1.0,0.0,EU tariffs on US goods come into force https://t.co/cnlFjr8KJN
@BBCNews,2018-06-21 22:00:31+00:00,0.0,0.0,1.0,0.0,£2.4m spent on House of Commons gagging clauses https://t.co/LbdCJCE3wv
@BBCNews,2018-06-21 21:19:37+00:00,0.6124,0.2,0.8,0.0,RT @bbcweather: Thinking about Saturday already? It's looking great...and Sunday is looking gorgeous too. #Summer Tomasz S https://t.co/LIg…
@BBCNews,2018-06-21 21:18:44+00:00,0.0,0.0,1.0,0.0,"RT @BBCSport: What. A. Goal.

Luka Modric doubled Croatia’s lead in style.

Watch👉https://t.co/2wTBYBYiQp
#bbcworldcup https://t.co/fGR4z6U…"
@BBCNews,2018-06-21 20:40:29+00:00,0.0,0.0,1.0,0.0,Mystery extinct ape found in ancient Chinese tomb https://t.co/3n1S2OUVr7
@BBCNews,2018-06-21 20:28:14+00:00,0.5647,0.437,0.563,0.0,Hammond: Treasury not the 'enemy of Brexit' https://t.co/uwfjmdPLNh
@BBCNews,2018-06-21 20:13:49+00:00,-0.9169,0.0,0.279,0.721,Rikki Neave death: No charges over schoolboy murder https://t.co/jbkE3VPjn2
@BBCNews,2018-06-21 19:57:53+00:00,0.34,0.159,0.736,0.105,"RT @BBCSport: FULL TIME: Argentina 0-3 Croatia. 

Croatia are through to the next round, Argentina in deep trouble. 

Great performance fro…"
@BBCNews,2018-06-21 19:37:11+00:00,-0.43,0.0,0.808,0.192,Melania wears 'I don't really care do u?' coat on migrant visit https://t.co/O4u9jDE6SO
@BBCNews,2018-06-21 19:34:40+00:00,0.0,0.0,1.0,0.0,Ardern and Bhutto: Two different pregnancies in power https://t.co/c73mMU3MjV
@BBCNews,2018-06-21 19:08:11+00:00,0.0772,0.126,0.874,0.0,'Rare' UK6 and 1RAN number plates up for auction https://t.co/mBuAnobTUN
@BBCNews,2018-06-21 18:53:00+00:00,-0.4588,0.0,0.636,0.364,Watchdog expected to find Vote Leave broke rules https://t.co/IQBMyZ2QmV
@BBCNews,2018-06-21 18:05:55+00:00,-0.743,0.0,0.588,0.412,'Wolf pack' jailed for sex attack released by Spanish court https://t.co/gylBLY1LjP
@BBCNews,2018-06-21 17:36:44+00:00,0.0,0.0,1.0,0.0,Ariana Grande and political samples in music https://t.co/STeEWoHmdz
@CBSNews,2018-06-23 00:59:49+00:00,-0.0516,0.121,0.75,0.129,"""We have a broken immigration system, both of these bills are better than the system that we have now"": Republicans… https://t.co/qcxp1cmFD6"
@CBSNews,2018-06-23 00:39:46+00:00,0.0,0.0,1.0,0.0,"""Each minute that I am separated from my children is anguish"": Read the handwritten notes in a court filing from pa… https://t.co/ksqOa740Y3"
@CBSNews,2018-06-23 00:19:37+00:00,-0.1027,0.0,0.928,0.072,The Hard Rock Hotel &amp; Casino in Atlantic City doesn't have rhythm. Just look at their new sign… https://t.co/6oMl7bNKfQ
@CBSNews,2018-06-23 00:00:01+00:00,-0.2023,0.0,0.921,0.079,"She's had to hump it over a few obstacles, but the baby camel born at the Toledo Zoo is doing just fine… https://t.co/TXxcYhH0jw"
@CBSNews,2018-06-22 23:29:47+00:00,0.0,0.0,1.0,0.0,Correspondent Mark Strassmann was permitted in a facility holding migrant children. Restrictions included a strictl… https://t.co/zQ7xGCoUmR
@CBSNews,2018-06-22 23:23:58+00:00,-0.7003,0.0,0.691,0.309,"""We'll make s--t up"": Cop fired for unwarranted traffic stop of daughter's boyfriend https://t.co/xYr7MMSEA6 https://t.co/0GcmqHkNKb"
@CBSNews,2018-06-22 22:46:52+00:00,0.5574,0.167,0.833,0.0,RT @CBSEveningNews The U.S. Supreme Court ruled Friday that police generally need to have a warrant to track a susp… https://t.co/3rHsQtPghr
@CBSNews,2018-06-22 22:39:03+00:00,0.0,0.0,1.0,0.0,"RT @CBSEveningNews: Hundreds of children separated at the border have been reunited with their families, following the president’s executiv…"
@CBSNews,2018-06-22 22:30:01+00:00,0.0,0.0,1.0,0.0,"Just as Saudi women set to get behind the wheel, their government has begun arresting those who dare to campaign fo… https://t.co/1tJ36lpiVu"
@CBSNews,2018-06-22 22:15:04+00:00,-0.296,0.0,0.896,0.104,Explorers have walked to the South Pole before. But no one's done it using solely renewable energy— until now… https://t.co/wH8pIOQV17
@CBSNews,2018-06-22 22:14:22+00:00,-0.1531,0.089,0.792,0.119,"Netflix's top spokesperson is leaving the company for using the N-word. Unfortunately, the N-word was not Netflix… https://t.co/L8Knfyt7Gw"
@CBSNews,2018-06-22 22:00:02+00:00,-0.2023,0.0,0.909,0.091,Sources said the U.S. Attorney's Office would be dismissing cases in which parents were charged with illegally ente… https://t.co/NJnL381Gga
@CBSNews,2018-06-22 21:44:46+00:00,0.0,0.0,1.0,0.0,"Tariffs against European automobiles sold stateside could cost 195,000 U.S. jobs. Retaliatory tariffs against Ameri… https://t.co/qkMbU67Sbw"
@CBSNews,2018-06-22 21:29:51+00:00,-0.2023,0.0,0.904,0.096,Michigan State University voted to keep on its controversial interim president John Engler during a meeting to disc… https://t.co/BHCeRQYDvW
@CBSNews,2018-06-22 21:14:49+00:00,0.0,0.0,1.0,0.0,"The Keystone virus, discovered in 1964 in the Tampa Bay area, was previously only found in animals. It's been disco… https://t.co/XoMTgX6MBg"
@CBSNews,2018-06-22 20:59:57+00:00,-0.4767,0.0,0.829,0.171,A woman noticed something wrong in a series of selfies. The culprit literally made her skin crawl… https://t.co/N5ZFHmrlMy
@CBSNews,2018-06-22 20:45:01+00:00,0.3182,0.108,0.892,0.0,"When fans pointed out merch for Shakira's ""El Dorado World Tour"" had hidden swastikas, Live Nation apologized for t… https://t.co/wfbRP8A0kc"
@CBSNews,2018-06-22 20:29:30+00:00,-0.7964,0.0,0.664,0.336,"Jurors found ex-mob boss ""Cadillac Frank"" Salemme guilty of murdering a night club owner in 1993… https://t.co/qDMIhlSdD4"
@CBSNews,2018-06-22 20:15:01+00:00,-0.4019,0.0,0.876,0.124,"President Trump said Republicans who intend to vote on a compromise bill are ""wasting their time"" at an event honor… https://t.co/6CNXf3Utx6"
@CBSNews,2018-06-22 19:48:09+00:00,-0.9118,0.0,0.564,0.436,A man was killed while trying to steal copper from a light pole. His death was quite literally shocking… https://t.co/67YWetxP45
@CBSNews,2018-06-22 19:30:00+00:00,0.0,0.0,1.0,0.0,"Today is ""Take Your Dog To Work Day."" But if you worked at these 10 companies, every day would be.… https://t.co/Fx46Df4tYa"
@CBSNews,2018-06-22 19:16:56+00:00,0.8555,0.354,0.646,0.0,"""Our first duty and highest loyalty is to the citizens of the United States. We want safety in our country. We want… https://t.co/QxB41zJfEi"
@CBSNews,2018-06-22 19:03:14+00:00,-0.6249,0.0,0.806,0.194,House votes to send the Senate more than 50 bills aimed at tackling the opioid crisis https://t.co/NVpuxpLlUn https://t.co/G7FipcndeE
@CBSNews,2018-06-22 18:47:19+00:00,-0.4805,0.0,0.822,0.178,"""These are the stories that Democrats and people that are weak on immigration --they don't want to discuss, they do… https://t.co/3i6JlzvqLN"
@CBSNews,2018-06-22 18:44:03+00:00,-0.1531,0.0,0.918,0.082,"WATCH LIVE: President Trump is making new comments on immigration with ""Angel families"" -- families affected by cri… https://t.co/dSzJ9nSXRN"
@CBSNews,2018-06-22 18:30:31+00:00,0.0,0.0,1.0,0.0,The Chevy Blazer is coming back -- and it'll be made in Mexico https://t.co/l4dRQ18BAW https://t.co/vFUGgIhv0h
@CBSNews,2018-06-22 18:09:30+00:00,0.1264,0.167,0.689,0.143,"Artist reimagines Melania Trump's ""I really don't care"" jacket for the Statue of Liberty: https://t.co/bvsjOozirr https://t.co/MbVMUwvoff"
@CBSNews,2018-06-22 17:55:35+00:00,0.4939,0.176,0.824,0.0,Looking for a dog friendly office? Here's where you can take your pup to work: https://t.co/QU8r8L6leJ… https://t.co/OGfTFKSbdm
@CBSNews,2018-06-22 17:39:59+00:00,-0.5106,0.0,0.845,0.155,Authorities in Kansas City are searching for a girl they believe was abducted by a gunman who shot her grandfather… https://t.co/tpDu4tgXNg
@CBSNews,2018-06-22 17:25:25+00:00,-0.1027,0.0,0.924,0.076,"The Hard Rock Hotel &amp; Casino in Atlantic City doesn't have rhythm -- it's got ""rhythem"" https://t.co/mRzzEVhTc4 https://t.co/enaU8zihmu"
@CBSNews,2018-06-22 17:07:24+00:00,-0.5106,0.0,0.798,0.202,"Disturbing news costs U.S. companies $43.6 million every minute, a new study says https://t.co/M69GhuZ8yJ https://t.co/BfhuoBsdUH"
@CBSNews,2018-06-22 16:58:55+00:00,0.0,0.0,1.0,0.0,"WATCH: Rep. Nancy Pelosi, House Democrats hold a news conference ahead of expected vote on immigration next week… https://t.co/UWNPTmPINH"
@CBSNews,2018-06-22 16:41:33+00:00,-0.6249,0.0,0.83,0.17,"As tens of thousands more people continue to flee deadly gang violence in El Salvador, one community has found a wa… https://t.co/ncDd2lFVXP"
@CBSNews,2018-06-22 16:25:50+00:00,-0.7269,0.0,0.783,0.217,"RT @CBSSunday: THIS SUNDAY 

In the decades after World War II, the Lower East Side became one of NY’s most diverse neighborhoods

The new…"
@CBSNews,2018-06-22 16:17:51+00:00,0.5574,0.247,0.753,0.0,"UPS workers and their union have reached a tentative agreement on a five-year contract, averting national strike:… https://t.co/5y13pz3nEI"
@CBSNews,2018-06-22 16:00:52+00:00,-0.802,0.0,0.714,0.286,"A photo of a crying immigrant girl became the iconic image of the child separation crisis, even though she was neve… https://t.co/aYbI70jeeB"
@CBSNews,2018-06-22 15:43:45+00:00,0.0,0.0,1.0,0.0,"5 female activists were gang-raped at gunpoint in India, police say https://t.co/w40H94aCKa https://t.co/fR5OMuQAeo"
@CBSNews,2018-06-22 15:25:02+00:00,-0.34,0.0,0.862,0.138,"""Shoot them all at the border"": DMV employee investigated for Facebook comment on immigrants https://t.co/pG38bWXEAs https://t.co/pFJrzXWKgQ"
